节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
群星苑一区东,虎丘区,204路,0,0,0
群星路,虎丘区,204路,0,0,0
群星一路,虎丘区,204路,0,0,0
群星二路,虎丘区,204路,0,0,0
群星三路,虎丘区,204路,0,0,0
通达路,吴中区,204路,0,0,0
金典花园,吴中区,204路,0,0,0
独墅岛,吴中区,204路,0,0,0
,,,,,
虎丘路,姑苏区,虎丘专线,4,1,12
观景新村东,姑苏区,虎丘专线,2,0,5
和园路,姑苏区,虎丘专线,0,0,2
苏州农学院,姑苏区,虎丘专线,2,0,8
西园路东,姑苏区,虎丘专线,6,2,7
留园,姑苏区,虎丘专线,7,3,10
广济桥(石路),姑苏区,虎丘专线,7,3,16
石路南,姑苏区,虎丘专线,5,0,13
爱河桥,姑苏区,虎丘专线,4,2,11
小日晖桥北,姑苏区,虎丘专线,1,1,4
阊胥路,姑苏区,虎丘专线,1,0,2
广济南路,姑苏区,虎丘专线,0,0,2
广济桥(石路),姑苏区,虎丘专线,6,3,13
留园,姑苏区,虎丘专线,5,2,8
虎丘路新村(一号桥),姑苏区,虎丘专线,0,0,5
观景新村东,姑苏区,虎丘专线,2,0,5
虎丘路,姑苏区,虎丘专线,4,1,12
,,,,,
苏州站南广场公交枢纽,姑苏区,406路,2,2,4
苏州市康复医院,姑苏区,406路,2,1,8
市立医院北区,姑苏区,406路,8,2,14
山塘街,姑苏区,406路,7,3,11
金阊实验小学,姑苏区,406路,8,5,13
广济桥(石路),姑苏区,406路,6,3,13
上津桥,姑苏区,406路,5,2,12
永津桥东,姑苏区,406路,6,4,8
西园,姑苏区,406路,5,2,7
下津桥,姑苏区,406路,1,1,9
来凤桥,姑苏区,406路,1,0,7
寒山寺南,姑苏区,406路,0,0,6
今日家园,虎丘区,406路,0,0,0
时代花园,虎丘区,406路,0,0,0
格林花园,虎丘区,406路,0,0,0
塔园路邓尉路北,虎丘区,406路,0,0,0
桃园度假村,虎丘区,406路,0,0,0
新地中心,虎丘区,406路,0,0,0
名馨花园东,虎丘区,406路,0,0,0
名馨花园,虎丘区,406路,0,0,0
明基医院,虎丘区,406路,0,0,0
明基医院西,虎丘区,406路,0,0,0
富士胶片,虎丘区,406路,0,0,0
石城(招呼站),虎丘区,406路,0,0,0
山水华庭,吴中区,406路,0,0,0
苏科大天平学院,吴中区,406路,0,0,0
静波桥,吴中区,406路,0,0,0
中山东路长江西路,吴中区,406路,0,0,0
中山东路枫瑞路,吴中区,406路,0,0,0
