前一节点,后一节点,线路名称,票价,区域属性,间距(km)
乐桥北,饮马桥东,8路,2,姑苏区,
饮马桥东,平直实小东,8路,2,姑苏区,
平直实小东,苏大附一院十梓街院区西,8路,2,姑苏区,
苏大附一院十梓街院区西,双塔2,8路,2,姑苏区,
双塔2,市一中,8路,2,姑苏区,
市一中,乐桥北,8路,2,姑苏区,
乐桥北,察院场观前街西,8路,2,姑苏区,
察院场观前街西,接驾桥,8路,2,姑苏区,
接驾桥,北寺塔,8路,2,姑苏区,
北寺塔,平门,8路,2,姑苏区,
平门,苏州站北广场,8路,2,姑苏区,
苏州站北广场,北广场汽车客运站,8路,2,姑苏区,
北广场汽车客运站,和合街,8路,2,姑苏区,
和合街,苏州平江医院,8路,2,姑苏区,
苏州平江医院,平川路江星路东,8路,2,姑苏区,
平川路江星路东,大观名园,8路,2,姑苏区,
大观名园,江星桥,8路,2,姑苏区,
江星桥,草桥中学,8路,2,姑苏区,
草桥中学,汇翠花园,8路,2,姑苏区,
汇翠花园,美地花园,8路,2,姑苏区,
美地花园,旺巷桥,8路,2,姑苏区,
旺巷桥,联城桥东,8路,2,姑苏区,
联城桥东,圩南港桥,8路,2,姑苏区,
圩南港桥,圩北港桥,8路,2,姑苏区,
圩北港桥,新东方汽车配件城南,8路,2,姑苏区,
新东方汽车配件城南,机电五金城,8路,2,姑苏区,
机电五金城,钱万里桥新市场北,8路,2,姑苏区,
钱万里桥新市场北,机电五金城南,8路,2,姑苏区,
机电五金城南,新东方汽配城北,8路,2,姑苏区,
新东方汽配城北,金筑实验小学校,8路,2,姑苏区,
,,,,,
官渎里立交换乘枢纽站,苏安新村2,9路,2,虎丘区,
苏安新村2,向阳桥南,9路,2,姑苏区,
向阳桥南,东港新村,9路,2,姑苏区,
东港新村,现代大道西,9路,2,姑苏区,
现代大道西,相门新村,9路,2,姑苏区,
相门新村,苏大北校区东,9路,2,姑苏区,
苏大北校区东,苏大理想眼科医院,9路,2,姑苏区,
苏大理想眼科医院,相门,9路,2,姑苏区,
相门,市一中,9路,2,姑苏区,
市一中,乐桥,9路,2,姑苏区,
乐桥,养育巷,9路,2,姑苏区,
养育巷,学士街,9路,2,姑苏区,
学士街,阊胥路,9路,2,姑苏区,
阊胥路,烽火路北,9路,2,姑苏区,
烽火路北,彩香新村北,9路,2,姑苏区,
彩香新村北,开放大学,9路,2,姑苏区,
开放大学,虹桥站,9路,2,姑苏区,
虹桥站,馨连桥,9路,2,姑苏区,
馨连桥,三元新村,9路,2,姑苏区,
三元新村,来凤桥,9路,2,姑苏区,
来凤桥,闻钟苑,9路,2,姑苏区,
闻钟苑,新庄新村北,9路,2,姑苏区,
新庄新村北,新庄立交,9路,2,姑苏区,
新庄立交,新庄立交换乘枢纽站,9路,2,姑苏区,
,,,,,
南环桥,杨枝塘东,10路(东线),2,姑苏区,
杨枝塘东,东振路西,10路(东线),2,姑苏区,
东振路西,金鸡湖大道西,10路(东线),2,姑苏区,
金鸡湖大道西,葑门换乘站东,10路(东线),2,姑苏区,
葑门换乘站东,苏大东校区2,10路(东线),2,姑苏区,
苏大东校区2,苏大东校区,10路(东线),2,姑苏区,
苏大东校区,徐家浜,10路(东线),2,姑苏区,
徐家浜,相门新村,10路(东线),2,姑苏区,
相门新村,现代大道西,10路(东线),2,姑苏区,
现代大道西,东港新村2,10路(东线),2,姑苏区,
东港新村2,向阳桥南,10路(东线),2,姑苏区,
向阳桥南,苏安新村,10路(东线),2,姑苏区,
苏安新村,官读里立交桥,10路(东线),2,姑苏区,
官读里立交桥,齐门北,10路(东线),2,姑苏区,
齐门北,苏州旅游集散中心,10路(东线),2,姑苏区,
苏州旅游集散中心,苏州站北广场,10路(东线),2,姑苏区,
苏州站北广场,北广场汽车客运站,10路(东线),2,姑苏区,
北广场汽车客运站,新天地家园,10路(东线),2,姑苏区,
新天地家园,塔影河桥,10路(东线),2,姑苏区,
塔影河桥,苏州市康复医院,10路(东线),2,姑苏区,
苏州市康复医院,钱万里桥北,10路(东线),2,姑苏区,
钱万里桥北,清塘新村北,10路(东线),2,姑苏区,
清塘新村北,半塘,10路(东线),2,姑苏区,
半塘,虎丘立交桥东,10路(东线),2,姑苏区,
虎丘立交桥东,观景新村,10路(东线),2,姑苏区,
观景新村,新庄立交,10路(东线),2,姑苏区,
新庄立交,新庄新村北,10路(东线),2,姑苏区,
新庄新村北,闻钟苑,10路(东线),2,姑苏区,
闻钟苑,来凤桥,10路(东线),2,姑苏区,
来凤桥,三元新村,10路(东线),2,姑苏区,
三元新村,狮山桥东,10路(东线),2,姑苏区,
狮山桥东,体育中心,10路(东线),2,姑苏区,
体育中心,五环桥,10路(东线),2,姑苏区,
五环桥,索山桥南,10路(东线),2,姑苏区,
索山桥南,唐胥桥,10路(东线),2,姑苏区,
唐胥桥,梅亭苑,10路(东线),2,姑苏区,
梅亭苑,晋源桥东,10路(东线),2,姑苏区,
晋源桥东,福星小区,10路(东线),2,姑苏区,
福星小区,友新新村南,10路(东线),2,姑苏区,
友新新村南,友联新村北,10路(东线),2,姑苏区,
友联新村北,盘溪新村南,10路(东线),2,姑苏区,
盘溪新村南,大龙港新村,10路(东线),2,姑苏区,
大龙港新村,团结桥西,10路(东线),2,姑苏区,
团结桥西,团结桥东,10路(东线),2,姑苏区,
团结桥东,南环新村,10路(东线),2,姑苏区,
南环新村,汽车南站广场,10路(东线),2,姑苏区,
汽车南站广场,汽车南站东,10路(东线),2,姑苏区,
汽车南站东,南环桥,10路(东线),2,姑苏区,
,,,,,
虎丘婚纱城首末站,虎丘婚纱城西,游1路(北线),2,姑苏区,
虎丘婚纱城西,虎丘婚纱城,游1路(北线),2,姑苏区,
虎丘婚纱城,虎丘路,游1路(北线),2,姑苏区,
虎丘路,虎阜桥,游1路(北线),2,姑苏区,
虎阜桥,青山桥浜,游1路(北线),2,姑苏区,
青山桥浜,虎阜花园西区北,游1路(北线),2,姑苏区,
虎阜花园西区北,平河路江星路西,游1路(北线),2,姑苏区,
平河路江星路西,大观名园,游1路(北线),2,姑苏区,
大观名园,平川路江星路东,游1路(北线),2,姑苏区,
平川路江星路东,苏州平江医院,游1路(北线),2,姑苏区,
苏州平江医院,和合街,游1路(北线),2,姑苏区,
和合街,北广场汽车客运站,游1路(北线),2,姑苏区,
北广场汽车客运站,苏州站北广场,游1路(北线),2,姑苏区,
苏州站北广场,平门,游1路(北线),2,姑苏区,
平门,北寺塔,游1路(北线),2,姑苏区,
北寺塔,接驾桥,游1路(北线),2,姑苏区,
接驾桥,察院场观前街西,游1路(北线),2,姑苏区,
察院场观前街西,乐桥北,游1路(北线),2,姑苏区,
乐桥北,养育巷,游1路(北线),2,姑苏区,
养育巷,学士街,游1路(北线),2,姑苏区,
学士街,小日晖桥北,游1路(北线),2,姑苏区,
小日晖桥北,爱河桥,游1路(北线),2,姑苏区,
爱河桥,广济桥(石路),游1路(北线),2,姑苏区,
广济桥(石路),留园,游1路(北线),2,姑苏区,
留园,虎丘路新村(一号桥),游1路(北线),2,姑苏区,
虎丘路新村(一号桥),观景新村东,游1路(北线),2,姑苏区,
观景新村东,虎丘路,游1路(北线),2,姑苏区,
虎丘路,虎丘婚纱城,游1路(北线),2,姑苏区,
虎丘婚纱城,虎丘婚纱城首末站,游1路(北线),2,姑苏区,
,,,,,
浒关首末站,浒墅关幼儿园,32路,2,虎丘区,
浒墅关幼儿园,浒墅关中心小学南,32路,2,虎丘区,
浒墅关中心小学南,浒墅关,32路,2,虎丘区,
浒墅关,保卫新村北,32路,2,虎丘区,
保卫新村北,保卫新村东,32路,2,虎丘区,
保卫新村东,惠丰街中兴路东,32路,2,虎丘区,
惠丰街中兴路东,朱家庄(浒关),32路,2,虎丘区,
朱家庄(浒关),新浒花园三区北门,32路,2,虎丘区,
新浒花园三区北门,金榈湾,32路,2,虎丘区,
金榈湾,新浒花园三区,32路,2,虎丘区,
新浒花园三区,新浒花园二区,32路,2,虎丘区,
新浒花园二区,新浒花园一区南,32路,2,虎丘区,
新浒花园一区南,水乡桥南,32路,2,虎丘区,
水乡桥南,陆步桥北,32路,2,虎丘区,
陆步桥北,陆步桥南,32路,2,姑苏区,
陆步桥南,富强新苑,32路,2,姑苏区,
富强新苑,金成家园,32路,2,姑苏区,
金成家园,城北十一号桥,32路,2,姑苏区,
城北十一号桥,机电五金城南,32路,2,姑苏区,
机电五金城南,钱万里桥新市场北,32路,2,姑苏区,
