前一节点,后一节点,线路名称,票价,区域属性,间距(km)
第二中学,奔腾大道路口,605路,2,鼓楼区,
奔腾大道路口,郡望花园,605路,2,鼓楼区,
郡望花园,鼓楼生态园(南),605路,2,鼓楼区,
鼓楼生态园(南),奔腾大道路口,605路,2,鼓楼区,
奔腾大道路口,山水龙瑞,605路,2,鼓楼区,
山水龙瑞,煤建四处东院,605路,2,鼓楼区,
煤建四处东院,万科城,605路,2,鼓楼区,
万科城,万科城北,605路,2,鼓楼区,
万科城北,天齐路,605路,2,鼓楼区,
天齐路,九里新苑公交首末站,605路,2,鼓楼区,
,,,,,
西苑人家,民馨路,39路,2,鼓楼区,
民馨路,西苑小区,39路,2,鼓楼区,
西苑小区,西苑农贸市场,39路,2,泉山区,
西苑农贸市场,西苑东口,39路,2,泉山区,
西苑东口,水漫桥,39路,2,泉山区,
水漫桥,沈场市场,39路,2,泉山区,
沈场市场,合群新村,39路,2,泉山区,
合群新村,合群桥,39路,2,泉山区,
合群桥,黄河新村,39路,2,泉山区,
黄河新村,夹河街西口,39路,2,鼓楼区,
夹河街西口,第一中学,39路,2,鼓楼区,
第一中学,夹河街东口,39路,2,鼓楼区,
夹河街东口,金地商都,39路,2,鼓楼区,
金地商都,供销大厦,39路,2,鼓楼区,
供销大厦,户部山地铁站,39路,2,鼓楼区,
户部山地铁站,戏马台,39路,2,云龙区,
戏马台,南京银行,39路,2,云龙区,
南京银行,市四院,39路,2,云龙区,
市四院,凤鸣路,39路,2,泉山区,
凤鸣路,康居小区东,39路,2,泉山区,
康居小区东,康居小区,39路,2,泉山区,
康居小区,文化城,39路,2,泉山区,
文化城,泰山西坡,39路,2,泉山区,
泰山西坡,省财校,39路,2,泉山区,
省财校,金泰馨雅园,39路,2,泉山区,
金泰馨雅园,金山村,39路,2,泉山区,
金山村,茶棚,39路,2,泉山区,
茶棚,泉山公园,39路,2,泉山区,
泉山公园,泉山法院,39路,2,泉山区,
泉山法院,双山,39路,2,泉山区,
双山,风华园公交首末站,39路,2,泉山区,
,,,,,
徐州站,万虹桥电子市场,41路,2,云龙区,
万虹桥电子市场,第三中学,41路,2,鼓楼区,
第三中学,创意68产业园,41路,2,鼓楼区,
创意68产业园,牌楼,41路,2,鼓楼区,
牌楼,夹河街东口,41路,2,鼓楼区,
夹河街东口,第一中学,41路,2,泉山区,
第一中学,夹河街西口,41路,2,泉山区,
夹河街西口,市二院西门,41路,2,泉山区,
市二院西门,工商局,41路,2,泉山区,
工商局,电视塔,41路,2,泉山区,
电视塔,云龙公园西门,41路,2,泉山区,
云龙公园西门,银湖小区东,41路,2,泉山区,
银湖小区东,云龙山隧道,41路,2,泉山区,
云龙山隧道,云龙湖旅游风景区,41路,2,泉山区,
云龙湖旅游风景区,云龙山索道,41路,2,泉山区,
云龙山索道,金山公园,41路,2,泉山区,
金山公园,金泰馨雅园,41路,2,泉山区,
金泰馨雅园,省财校,41路,2,泉山区,
省财校,营房西门(金山东路),41路,2,泉山区,
营房西门(金山东路),营房东门,41路,2,泉山区,
营房东门,孟庄公寓,41路,2,泉山区,
孟庄公寓,泰山汇景花园,41路,2,泉山区,
泰山汇景花园,大学城,41路,2,泉山区,
大学城,矿业大学,41路,2,泉山区,
矿业大学,风华园,41路,2,泉山区,
风华园,风华苑(风华南路),41路,2,泉山区,
风华苑(风华南路),风华南苑,41路,2,泉山区,
风华南苑,芙蓉园,41路,2,泉山区 ,
芙蓉园,文沃市场,41路,2,铜山区,
文沃市场,建筑学院,41路,2,铜山区,
,,,,,
宣武市场,宣武市场(建国东路),66路,2,云龙区,
宣武市场(建国东路),建国小区,66路,2,云龙区,
建国小区,云龙医院,66路,2,云龙区,
云龙医院,解放桥,66路,2,云龙区,
解放桥,市二院南,66路,2,泉山区,
市二院南,永安广场,66路,2,泉山区,
永安广场,矿务局南,66路,2,泉山区,
矿务局南,煤建西路,66路,2,泉山区,
煤建西路,建国路西口,66路,2,泉山区,
建国路西口,段庄(二环西路),66路,2,泉山区,
段庄(二环西路),人民广场西,66路,2,泉山区,
人民广场西,万科淮海天地,66路,2,泉山区,
万科淮海天地,二轻路,66路,2,泉山区,
二轻路,雁山路,66路,2,泉山区,
雁山路,荣盛城一期,66路,2,泉山区,
荣盛城一期,荣盛城二期,66路,2,泉山区,
荣盛城二期,第三十一中学(荣盛城分校),66路,2,泉山区,
第三十一中学(荣盛城分校),新淮海西路(杏山子大道),66路,2,泉山区,
新淮海西路(杏山子大道),星雨路南,66路,2,泉山区,
星雨路南,雨润新城(星雨路),66路,2,泉山区,
雨润新城(星雨路),雨润新城,66路,2,泉山区 ,
雨润新城,雨润市场,66路,2,泉山区,
,,,,,
云龙湖旅游风景区,云龙山隧道,55路,2,泉山区,
云龙山隧道,银湖小区东,55路,2,泉山区,
银湖小区东,云龙公园西门,55路,2,泉山区,
云龙公园西门,电视塔,55路,2,泉山区,
电视塔,云龙公园北门,55路,2,泉山区,
云龙公园北门,海云大厦,55路,2,泉山区,
海云大厦,中山饭店,55路,2,泉山区,
中山饭店,市交通银行,55路,2,云龙区,
市交通银行,青年路小学,55路,2,云龙区,
青年路小学,公园巷小学,55路,2,云龙区,
公园巷小学,百惠家美时,55路,2,云龙区,
百惠家美时,徐州站(朝阳),55路,2,云龙区,
徐州站(朝阳),四道街,55路,2,鼓楼区,
四道街,地下道(大庆路),55路,2,鼓楼区,
地下道(大庆路),二七宿舍,55路,2,鼓楼区,
二七宿舍,白云山,55路,2,鼓楼区,
白云山,下淀瑞博医院,55路,2,鼓楼区,
下淀瑞博医院,下淀地铁站,55路,2,鼓楼区,
下淀地铁站,二九宿舍,55路,2,鼓楼区,
二九宿舍,徐州物资市场,55路,2,鼓楼区,
徐州物资市场,京阜心血管医院,55路,2,鼓楼区,
京阜心血管医院,杨庄,55路,2,鼓楼区,
杨庄,二十四中,55路,2,鼓楼区,
二十四中,基桩公司,55路,2,鼓楼区,
基桩公司,E20创意园(蟠桃山路),55路,2,鼓楼区,
E20创意园(蟠桃山路),徐工科技,55路,2,鼓楼区,
徐工科技,临时站(金水路),55路,2,鼓楼区,
临时站(金水路),北区公交首末站,55路,2,鼓楼区,
,,,,,
国基城邦,科教集聚区,51路,2,铜山区,
科教集聚区,矿大南湖校区东门,51路,2,铜山区,
矿大南湖校区东门,茶棚,51路,2,铜山区,
茶棚,金山村,51路,2,泉山区,
金山村,金泰馨雅园,51路,2,泉山区,
金泰馨雅园,省财校,51路,2,泉山区,
省财校,营房西门(金山东路),51路,2,泉山区,
营房西门(金山东路),营房东门,51路,2,泉山区,
营房东门,孟庄公寓,51路,2,泉山区,
