节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
市三院,鼓楼区,73路,0,0,0
烟厂,鼓楼区,73路,0,0,0
四道街,鼓楼区,73路,0,0,1
地下道(大庆路),鼓楼区,73路,1,0,1
二七宿舍,鼓楼区,73路,0,0,0
白云山,鼓楼区,73路,0,0,0
下淀瑞博医院,鼓楼区,73路,0,0,0
下淀地铁站,鼓楼区,73路,0,0,0
二九宿舍,鼓楼区,73路,0,0,0
徐州物资市场,鼓楼区,73路,0,0,0
京阜心血管医院,鼓楼区,73路,0,0,0
杨庄,鼓楼区,73路,0,0,0
二十四中,鼓楼区,73路,0,0,0
基桩公司,鼓楼区,73路,0,0,0
鼓楼法院,鼓楼区,73路,0,0,0
金山桥大厦,鼓楼区,73路,0,0,0
招呼站,鼓楼区,73路,0,0,0
今日彩印,鼓楼区,73路,0,0,0
省经贸学校,鼓楼区,73路,0,0,0
石桥,鼓楼区,73路,0,0,0
杨山路公交首末站,鼓楼区,73路,0,0,1
,,,,,
人才家园公交首末站,云龙区,78路,0,0,0
汉源大道地铁站,云龙区,78路,0,0,0
元和路,云龙区,78路,0,0,0
行政中心地铁站,云龙区,78路,0,0,0
汉风路,云龙区,78路,0,0,0
太行路(秦郡路),云龙区,78路,0,0,0
泊林公馆,云龙区,78路,0,0,0
环境检测中心,云龙区,78路,0,0,0
彭祖大道,云龙区,78路,0,0,0
拖龙山公园,云龙区,78路,0,0,0
拖龙山地铁站,云龙区,78路,0,0,1
淮海文博园,泉山区,78路,0,0,1
东盛汽车站,泉山区,78路,0,0,0
七里沟,泉山区,78路,0,0,0
矿大北门,泉山区,78路,0,0,0
大学城,泉山区,78路,0,0,0
泰山汇景花园,泉山区,78路,0,0,0
孟庄公寓,泉山区,78路,0,0,1
营房东门,泉山区,78路,0,0,1
营房西门(金山东路),泉山区,78路,0,0,1
省财校,泉山区,78路,0,0,1
金泰馨雅园,泉山区,78路,0,0,0
金山公园,泉山区,78路,0,0,0
云龙山索道,泉山区,78路,0,0,0
云龙湖旅游风景区,泉山区,78路,0,0,2
云龙山隧道,泉山区,78路,1,0,5
泉山医院,泉山区,78路,0,0,0
吴庄小区,泉山区,78路,0,0,0
吴庄花园,泉山区,78路,0,0,0
矿总医院(明珠路),泉山区,78路,0,0,0
