节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
福州市政府,,117路,8
白马河公园,,117路,2
上海街道,,117路,1
白马河,,117路,1
宝龙城市广场,,117路,1
省血液中心,,117路,0
福建海事局,,117路,0
尤溪洲桥头,,117路,2
金港路口,,117路,0
浦上开发区协盛装饰大楼,,117路,0
浦上工业区,,117路,0
建新杨周路口,,117路,0
桔园三期,,117路,0
金山公交中心停车场,,117路,3
金山浦上公交枢纽站,,117路,4
,,,
白水塘,,145路,2
江厝路口,,145路,1
魁炉头,,145路,1
华屏路,,145路,3
华林路口,,145路,3
屏山,,145路,1
省卫健委,,145路,3
福三中,,145路,3
省物价局,,145路,3
华大,,145路,1
三角井,,145路,3
铜盘河,,145路,2
省消防支队,,145路,2
省档案馆,,145路,0
屏西商场,,145路,1
屏西新村北门,,145路,1
,,,
火车站北广场,,159路,0
罗汉山隧道西,,159路,2
琴亭环岛(西),,159路,2
湖前,,159路,0
魁炉头,,159路,1
源脉温泉,,159路,3
龙腰,,159路,3
北门,,159路,3
屏山,,159路,1
省林业局,,159路,4
北院巷,,159路,6
赛月亭,,159路,5
七星井,,159路,7
庆城,,159路,3
仙塔街,,159路,4
格致中学,,159路,7
协和医院,,159路,8
南门,,159路,6
公交仁德站,,159路,2
,,,
满洋新秀,,111路,0
中央公园,,111路,0
满洋路,,111路,0
象峰学校,,111路,0
五四北泰禾广场,,111路,0
秀山村,,111路,1
地铁秀山站,,111路,1
高佳苑,,111路,1
三盛果岭,,111路,0
稻田创业小镇,,111路,0
省老年体育中心,,111路,0
南平东路口,,111路,2
浮村,,111路,2
湖前,,111路,0
魁炉头,,111路,1
源脉温泉,,111路,3
龙腰,,111路,3
北门,,111路,3
华大,,111路,1
省物价局,,111路,3
西湖,,111路,4
西门,,111路,6
高峰桥,,111路,3
陆庄,,111路,2
柳桥,,111路,0
茶园山,,111路,0
福大北门,,111路,0
天骏小区,,111路,0
物构所,,111路,0
洪山桥,,111路,1
郭厝里,,111路,1
洪塘地铁站,,111路,1
旭辉左海岸(阵坂),,111路,0
正祥香槟风范,,111路,1
金塘路,,111路,1
金榕北路,,111路,0
金达路口,,111路,1
市人才储备中心,,111路,0
榕城广场,,111路,0
福州金山中学,,111路,0
金祥路金洲路口,,111路,0
金洲南路金山地铁站,,111路,0
金山公交总站,,111路,1
,,,
福建省科技馆北门,,补充节点,3
,,,
火车站北广场,,133路,0
水头,,133路,0
湖塍,,133路,2
洋下新村,,133路,3
东门村委,,133路,1
东水路口,,133路,2
八方大厦,,133路,1
蒙古营,,133路,3
龙华天桥,,133路,6
五一广场,,133路,5
南门,,133路,6
茶亭,,133路,0
洋头口,,133路,0
博美诗邦,,133路,0
双浦头,,133路,2
宝龙·城市广场,,133路,2
省血液中心,,133路,0
福建海事局,,133路,1
尤溪洲桥头,,133路,0
仓山万达广场,,133路,0
浦上大道地铁站,,133路,0
金洲浦上路口,,133路,0
凤岗里地铁站,,133路,0
凤冈路口,,133路,0
金榕南路口,,133路,0
为民路口,,133路,0
福州金山中学,,133路,0
金山地铁站D口,,133路,0
金山地铁站F口,,133路,0
金山公交总站,,133路,0
,,,
上渡建材市场,,115路,0
上渡,,115路,3
师大(程埔头),,115路,3
跑马场,,115路,4
龙津,,115路,5
埔顶,,115路,3
桥南,,115路,3
桥北,,115路,1
雁塔,,115路,3
象园头,,115路,2
象园(长乐路口),,115路,2
象园街道,,115路,2
世欧广场,,115路,2
讲堂前,,115路,1
乐西(东),,115路,1
大名城,,115路,0
地铁五里亭站,,115路,1
肿瘤医院,,115路,0
前屿,,115路,1
恒宇国际公园,,115路,0
远洋,,115路,0
磨洋河,,115路,0
廨院小学,,115路,0
省革命历史纪念馆,,115路,0
地铁鼓山站,,115路,0
廨院公交总站,,115路,0
,,,
福建博物馆,,88路,3
左海公园西门,,88路,3
梅峰宾馆,,88路,3
梅峰支路,,88路,0
梅峰路,,88路,2
西洪凤里,,88路,1
八一六花园,,88路,2
孟超肝胆医院西洪院区(鸡角弄),,88路,1
陆庄,,88路,3
西门,,88路,6
西湖,,88路,4
福三中,,88路,3
鼓楼,,88路,6
旗汛口,,88路,6
仙塔街,,88路,4
格致中学,,88路,7
协和医院,,88路,8
于山,,88路,6
水部,,88路,3
古田六一路口,,88路,1
紫阳,,88路,2
乐西(东),,88路,3
讲堂前,,88路,2
世欧广场,,88路,3
象园街道,,88路,4
市青少年活动中心,,88路,2
福州市老年大学,,88路,0
长乐南路,,88路,0
闽江世纪广场,,88路,0
曙光支路东站,,88路,0
金融街万达广场,,88路,0
鳌峰亚兴路口,,88路,0
鱼池,,88路,0
鳌峰公园,,88路,0
公交鳌峰洲站,,88路,0
鳌峰洲公交总站,,88路,0
