前一节点,后一节点,线路名称,票价(元),间距(公里)
马口,河下路,12路,1,
河下路,浦西社区,12路,1,
浦西社区,德榜路新兴路口,12路,1,
德榜路新兴路口,尤溪洲(东)停车场,12路,1,
,,,,
金山工业区台江园,橘园洲仓山园,13路,1,
橘园洲仓山园,花溪北路,13路,1,
花溪北路,金山大道口,13路,1,
金山大道口,融信第一城,13路,1,
融信第一城,洪湾路口,13路,1,
洪湾路口,上雁路口,13路,1,
上雁路口,金祥路口(后曹村),13路,1,
金祥路口(后曹村),金祥路金洲路口,13路,1,
金祥路金洲路口,福州金山中学,13路,1,
福州金山中学,榕城广场,13路,1,
榕城广场,金山新华图书城,13路,1,
金山新华图书城,上浦路口,13路,1,
上浦路口,福祥社区,13路,1,
福祥社区,祥坂路口,13路,1,
祥坂路口,省血液中心,13路,1,
省血液中心,福建海事局,13路,1,
福建海事局,长寿社,13路,1,
长寿社,帮洲,13路,1,
帮洲,苍霞新城,13路,1,
苍霞新城,青年广场,13路,1,
青年广场,闽江之心(台州步行街),13路,1,
闽江之心(台州步行街),排尾,13路,1,
排尾,亚峰,13路,1,
亚峰,排尾路长乐南路口,13路,1,
排尾路长乐南路口,亚峰农贸市场,13路,1,
亚峰农贸市场,鳌峰大桥,13路,1,
鳌峰大桥,金融街万达广场,13路,1,
金融街万达广场,鳌峰亚兴路口,13路,1,
鳌峰亚兴路口,鱼池,13路,1,
鱼池,鳌峰公园,13路,1,
鳌峰公园,公交鳌峰站,13路,1,
公交鳌峰站,鳌峰洲公交总站,13路,1,
,,,,
软件园鲲鹏大厦,文山里,14路,1,
文山里,文山里泵站,14路,1,
文山里泵站,福建工贸学校,14路,1,
福建工贸学校,原厝,14路,1,
原厝,国光公园,14路,1,
国光公园,福道6号口,14路,1,
福道6号口,洪山桥,14路,1,
洪山桥,物构所,14路,1,
物构所,天骏小区,14路,1,
天骏小区,福大北门,14路,1,
福大北门,凤凰池,14路,1,
凤凰池,福大东门,14路,1,
福大东门,西禅寺,14路,1,
西禅寺,闽江学院工业路校区,14路,1,
闽江学院工业路校区,福祥社区,14路,1,
福祥社区,祥坂路口,14路,1,
祥坂路口,宝龙城市广场,14路,1,
宝龙城市广场,工业路白马路口,14路,1,
工业路白马路口,博美诗邦,14路,1,
博美诗邦,安淡,14路,1,
安淡,打铁垱,14路,1,
打铁垱,十四桥,14路,1,
十四桥,安平小区,14路,1,
安平小区,闽江之心(台州步行街),14路,1,
闽江之心(台州步行街),桥南,14路,1,
桥南,仓山步行街,14路,1,
仓山步行街,先锋幼儿园,14路,1,
先锋幼儿园,仓山区检察院,14路,1,
仓山区检察院,龙福机电交易市场,14路,1,
龙福机电交易市场,高湖村,14路,1,
高湖村,盖山镇政府新村,14路,1,
