节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
黄金坝路上方寺路,,27路,0
鸿福三村,,27路,0
佳家南园,,27路,0
佳家花园,,27路,0
江平东路黄金坝路,,27路,0
江平东路江都北路,,27路,0
佳家花园公交首末站,,27路,0
,,,
动物之窗公交首末站,,29路,0
世界动物之窗,,29路,0
干休所,,29路,0
友谊新村,,29路,0
友谊广场,,29路,0
迎宾馆,,29路,3
瘦西湖,,29路,6
文昌阁,,29路,4
仙鹤寺,,29路,7
苏北医院,,29路,4
苏北医院西门,,29路,3
双虹桥,,29路,3
扬州大学,,29路,2
砚池小区,,29路,2
曙光新苑,,29路,0
江阳学院,,29路,0
南宝带小区,,29路,0
扬州大剧院,,29路,0
幸福小区,,29路,0
新城河路江阳中路北,,29路,0
江阳中路鸿大路,,29路,0
美天健康体检中心,,29路,0
康桥花园,,29路,0
金湖湾,,29路,0
顺达路开发西路,,29路,0
淮左郡庄园,,29路,0
振兴花园,,29路,0
中心桥,,29路,0
扬州大学扬子津校区西(银河路),,29路,0
阳光地带北门,,29路,0
汊河街道办,,29路,0
银桥小区,,29路,0
汇金谷,,29路,0
扬州工业职业技术学院西门,,29路,0
南邮通达学院,,29路,0
冻青铺,,29路,0
周庄站,,29路,0
韦庄,,29路,0
邗江中专,,29路,0
扬州技师学院,,29路,0
运西朱庄,,29路,0
扬州大学广陵学院,,29路,0
,,,
完美路公交停车场,,30路,0
联博药业,,30路,0
扬力工程中心,,30路,0
扬州漆器厂,,30路,0
柏泰集团,,30路,0
牧羊路祥园路东,,30路,0
吉安北路,,30路,0
江苏邗建集团,,30路,0
金丰公司,,30路,0
名兴花园,,30路,0
顺达路,,30路,0
金湖湾,,30路,0
开发西路,,30路,0
开发西路鸿大路,,30路,0
祥和路,,30路,0
宝龙广场西门,,30路,0
淮扬路茉莉花路,,30路,0
扬州商城,,30路,0
花园小区,,30路,0
南宝带小区,,30路,0
崇文苑,,30路,0
扬大农学院,,30路,0
畜牧兽医院,,30路,0
扬大文汇路校区东,,30路,0
石塔寺,,30路,3
文昌阁,,30路,4
史公祠,,30路,8
梅岭小学,,30路,3
梅岭东路,,30路,0
梅岭东苑,,30路,0
吉祥苑,,30路,0
五台山大桥,,30路,1
梅花山庄,,30路,2
大王庙,,30路,2
竹西公园(御龙湾商业广场南),,30路,2
新城吾悦广场,,30路,1
恒大帝景,,30路,0
竹西董庄,,30路,0
盐亭子小区,,30路,0
运河北路北城路,,30路,0
运河北路秋实路,,30路,0
物港路运河北路东,,30路,0
冶春食品公司,,30路,0
,,,
茱萸湾公园,,32路,0
颐和康复医院,,32路,0
湾头镇,,32路,0
湾头中学(临时站),,32路,0
广福花园临苑东门,,32路,0
江扬大桥东,,32路,0
天顺花园北门,,32路,0
天顺花园东门,,32路,0
天顺花园南门,,32路,0
绿地中央学府南门(临时停靠站),,32路,0
陈庄,,32路,0
新东方外国语学校,,32路,0
文昌大桥,,32路,0
运河北路文昌中路,,32路,0
曲江公园东,,32路,0
扬州大桥西,,32路,0
运河西路曲江南路西,,32路,0
仲裁委,,32路,0
东园饭店,,32路,0
扬州仁爱医院,,32路,0
解放桥,,32路,2
琼花观,,32路,15
珍园,,32路,8
仙鹤寺,,32路,7
苏北医院,,32路,4
荷花池公园,,32路,2
文峰大桥,,32路,0
