前一节点,后一节点,线路名称,票价,区域属性
月亮园,邗江区第一中学,21路,2,
邗江区第一中学,来鹤台广场,21路,2,
来鹤台广场,邗江中路文昌西路,21路,2,
邗江中路文昌西路,巴黎春天,21路,2,
巴黎春天,望月苑,21路,2,
望月苑,凯莱花园,21路,2,
凯莱花园,安兴苑,21路,2,
安兴苑,扬州大剧院,21路,2,
扬州大剧院,南宝带小区,21路,2,
南宝带小区,江阳学院,21路,2,
江阳学院,曙光新苑,21路,2,
曙光新苑,大学南路江阳中路北,21路,2,
大学南路江阳中路北,通扬桥东,21路,2,
通扬桥东,工人新村,21路,2,
工人新村,江阳东路金鱼塘路,21路,2,
江阳东路金鱼塘路,东花园,21路,2,
东花园,施井小区西,21路,2,
施井小区西,施井路,21路,2,
施井路,曲江装饰城,21路,2,
曲江装饰城,通运商贸城北门,21路,2,
,,,,
八南村,八里镇政府,22路,2,
八里镇政府,玉带家园,22路,2,
玉带家园,金港北苑南门,22路,2,
金港北苑南门,金港花园,22路,2,
金港花园,金山花园,22路,2,
金山花园,金山路,22路,2,
金山路,港口工业园,22路,2,
港口工业园,江苏顺大,22路,2,
江苏顺大,金山路扬子江南,22路,2,
金山路扬子江南,扬子江南路金山路北,22路,2,
扬子江南路金山路北,邗江河桥,22路,2,
邗江河桥,出口加工区,22路,2,
出口加工区,九龙湖路岔口,22路,2,
九龙湖路岔口,蓝蔚庄园,22路,2,
蓝蔚庄园,开发区马庄,22路,2,
开发区马庄,江海学院,22路,2,
江海学院,四水厂,22路,2,
四水厂,外商公共服务中心,22路,2,
外商公共服务中心,依云城邦,22路,2,
依云城邦,富川瑞园,22路,2,
富川瑞园,G40扬州南出入口,22路,2,
G40扬州南出入口,开发区人民检察院,22路,2,
开发区人民检察院,淮扬路兴扬路北,22路,2,
淮扬路兴扬路北,淮扬路开发西路南,22路,2,
淮扬路开发西路南,祥和路,22路,2,
祥和路,开发西路鸿大路,22路,2,
开发西路鸿大路,开发西路,22路,2,
开发西路,邗江中路开发西路,22路,2,
邗江中路开发西路,美天健康体检中心,22路,2,
美天健康体检中心,江阳西路邗江中路,22路,2,
江阳西路邗江中路,麦德龙,22路,2,
麦德龙,红星美凯龙东,22路,2,
红星美凯龙东,润扬中路,22路,2,
润扬中路,西郡188花园南门,22路,2,
西郡188花园南门,天骏华府南门,22路,2,
天骏华府南门,余林村,22路,2,
余林村,兴城西路博物馆,22路,2,
兴城西路博物馆,橡树湾南门,22路,2,
橡树湾南门,文汇苑A区东门,22路,2,
文汇苑A区东门,站南路文汇西路,22路,2,
站南路文汇西路,新盛花苑南门,22路,2,
新盛花苑南门,新盛花苑,22路,2,
新盛花苑,新盛路北,22路,2,
新盛路北,京华城路新盛路,22路,2,
京华城路新盛路,站南路文昌西路,22路,2,
站南路文昌西路,西部客运枢纽(扬州火车站西),22路,2,
,,,,
槐泗公交停车场,包家村,23路,2,
包家村,酒甸西,23路,2,
酒甸西,槐泗卫生服务中心,23路,2,
槐泗卫生服务中心,常熟银行槐泗分理处,23路,2,
常熟银行槐泗分理处,酒甸集镇,23路,2,
酒甸集镇,吉兴南路,23路,2,
吉兴南路,S28瘦西湖出入口,23路,2,
S28瘦西湖出入口,槐泗工业园,23路,2,
槐泗工业园,瘦西湖路庆峰路,23路,2,
瘦西湖路庆峰路,瘦西湖路扬子北路,23路,2,
瘦西湖路扬子北路,九溪玫瑰园,23路,2,
九溪玫瑰园,瘦西湖路学士西路,23路,2,
瘦西湖路学士西路,木材市场,23路,2,
木材市场,瘦西湖路,23路,2,
瘦西湖路,瘦西湖路枫林路,23路,2,
瘦西湖路枫林路,世界动物之窗,23路,2,
世界动物之窗,干休所,23路,2,
干休所,友谊新村,23路,2,
友谊新村,友谊广场,23路,2,
友谊广场,梅岭西路,23路,2,
梅岭西路,友好会馆,23路,2,
友好会馆,文昌阁,23路,2,
文昌阁,仙鹤寺,23路,2,
仙鹤寺,苏北医院,23路,2,
苏北医院,荷花池公园,23路,2,
荷花池公园,通扬桥东,23路,2,
通扬桥东,工人新村,23路,2,
工人新村,江阳东路金鱼塘路,23路,2,
江阳东路金鱼塘路,东花园,23路,2,
东花园,施井小区西,23路,2,
施井小区西,东方丽景,23路,2,
东方丽景,东花园泵站,23路,2,
东花园泵站,正泰花苑,23路,2,
正泰花苑,九久奥莱广场,23路,2,
九久奥莱广场,亚联公交停车场,23路,2,
,,,,
公交三公司,扬子江北路荷叶路南,25路,2,
扬子江北路荷叶路南,小官桥,25路,2,
