前一节点,后一节点,路线属性,票价(元),频率(分钟/趟)
医大二院鲤城院区,钟楼,21路,1,8
钟楼,承天寺,21路,1,8
承天寺,百源路,21路,1,8
百源路,府文庙,21路,1,8
府文庙,水门巷口,21路,1,8
水门巷口,指挥巷口,21路,1,8
指挥巷口,义全街口,21路,1,8
义全街口,鲤城公安分局,21路,1,8
鲤城公安分局,幸福街口,21路,1,8
幸福街口,泉秀街西段,21路,1,8
泉秀街西段,浦西路口,21路,1,8
浦西路口,刺桐路口,21路,1,8
刺桐路口,客运中心站南门,21路,1,8
客运中心站南门,金帝花园,21路,1,8
金帝花园,现代广场,21路,1,8
现代广场,东海街道办事处,21路,1,8
东海街道办事处,黎明大学,21路,1,8
黎明大学,宝珊花园,21路,1,8
宝珊花园,法坊路口,21路,1,8
法坊路口,霞露口,21路,1,8
霞露口,东海滨城,21路,1,8
东海滨城,医大二院东海院区,21路,1,8
医大二院东海院区,东海大街中段,21路,1,8
东海大街中段,东海大街东段,21路,1,8
东海大街东段,泉州师院,21路,1,8
,,,,
福厦铁路泉州站,泉州软件园,22路,1,35
泉州软件园,霞美,22路,1,35
霞美,曾坑,22路,1,35
曾坑,黄龙大桥头,22路,1,35
黄龙大桥头,潘山市场,22路,1,35
潘山市场,丰泽实小潘山校区,22路,1,35
丰泽实小潘山校区,北清西路,22路,1,35
北清西路,北峰工业区,22路,1,35
北峰工业区,坑尾路口,22路,1,35
坑尾路口,西湖公园,22路,1,35
西湖公园,邮电公寓,22路,1,35
邮电公寓,建南花园,22路,1,35
建南花园,新华小区,22路,1,35
新华小区,西湖小区,22路,1,35
西湖小区,城北路西段,22路,1,35
城北路西段,朝天门,22路,1,35
朝天门,学府街西段,22路,1,35
学府街西段,泉州一中,22路,1,35
泉州一中,泉州外国语学校,22路,1,35
泉州外国语学校,南俊路北段,22路,1,35
南俊路北段,泉州一院,22路,1,35
泉州一院,东门,22路,1,35
东门,东湖影院,22路,1,35
东湖影院,侨乡体育馆,22路,1,35
侨乡体育馆,人才大厦,22路,1,35
人才大厦,湖心街口,22路,1,35
湖心街口,东方银座,22路,1,35
东方银座,刺桐公园,22路,1,35
刺桐公园,东美街口,22路,1,35
东美街口,泉秀街口,22路,1,35
泉秀街口,客运中心站南门,22路,1,35
客运中心站南门,客运中心站东门,22路,1,35
客运中心站东门,妙云街口,22路,1,35
,,,,
中骏商城S公寓,高新科技园,23路,1,30
高新科技园,洋仕村口(市中医院东),23路,1,30
洋仕村口(市中医院东),樟崎村口,23路,1,30
樟崎村口,万祥汽车站,23路,1,30
万祥汽车站,池峰路中段,23路,1,30
池峰路中段,南天裕景,23路,1,30
南天裕景,桥南片区,23路,1,30
桥南片区,晋江第三实小路口,23路,1,30
晋江第三实小路口,华洲,23路,1,30
华洲,华洲家装市场,23路,1,30
华洲家装市场,温陵路南段,23路,1,30
温陵路南段,海关大楼,23路,1,30
海关大楼,温陵路中段,23路,1,30
温陵路中段,儿童医院,23路,1,30
儿童医院,青少年宫,23路,1,30
青少年宫,湖心街中段,23路,1,30
湖心街中段,线务局,23路,1,30
线务局,圣墓,23路,1,30
圣墓,坪山路口,23路,1,30
坪山路口,明日广场,23路,1,30
明日广场,火车东站,23路,1,30
,,,,
万祥汽车站,乌石路口,24路,1,20
乌石路口,国防教育中心,24路,1,20
国防教育中心,火炬工业区路口,24路,1,20
火炬工业区路口,浦口,24路,1,20
浦口,上埕路口,24路,1,20
上埕路口,泉州建材市场,24路,1,20
泉州建材市场,王宫,24路,1,20
王宫,锦工中路口,24路,1,20
锦工中路口,霞洲,24路,1,20
霞洲,浮桥站,24路,1,20
浮桥站,三千坛,24路,1,20
三千坛,蔬菜公司,24路,1,20
蔬菜公司,甲第巷口,24路,1,20
甲第巷口,新门菜市,24路,1,20
新门菜市,新门街头,24路,1,20
新门街头,水门巷口,24路,1,20
水门巷口,指挥巷口,24路,1,20
指挥巷口,义全街口,24路,1,20
义全街口,鲤城公安分局,24路,1,20
鲤城公安分局,幸福街口,24路,1,20
幸福街口,温陵路南段,24路,1,20
温陵路南段,宝洲街西段,24路,1,20
宝洲街西段,东南医院,24路,1,20
东南医院,浦西村口,24路,1,20
浦西村口,宝洲街中段,24路,1,20
宝洲街中段,丰泽交警大队,24路,1,20
丰泽交警大队,刺桐南路中段,24路,1,20
刺桐南路中段,客运中心站南门,24路,1,20
客运中心站南门,客运中心站,24路,1,20
,,,,
泉州江南老年颐乐园,亭点街尾,25路,1,40
亭点街尾,万祥汽车站,25路,1,40
万祥汽车站,乌石路口,25路,1,40
乌石路口,国防教育中心,25路,1,40
国防教育中心,火炬工业区路口,25路,1,40
火炬工业区路口,朵莲寺,25路,1,40
朵莲寺,金山水闸,25路,1,40
金山水闸,新华南路,25路,1,40
新华南路,金山北区,25路,1,40
金山北区,新华桥,25路,1,40
新华桥,芳草园,25路,1,40
芳草园,新门菜市,25路,1,40
新门菜市,新门街头,25路,1,40
新门街头,府文庙,25路,1,40
府文庙,百源路,25路,1,40
百源路,承天寺,25路,1,40
承天寺,泉州一院,25路,1,40
泉州一院,东门,25路,1,40
东门,东湖影院,25路,1,40
东湖影院,侨乡体育馆,25路,1,40
侨乡体育馆,圣墓,25路,1,40
圣墓,坪山路口,25路,1,40
坪山路口,明日广场,25路,1,40
明日广场,泉州盲聋哑学校,25路,1,40
泉州盲聋哑学校,华大街道办事处,25路,1,40
,,,,
见龙亭小区,招联路口,26路,1,15
招联路口,见龙亭小区南门,26路,1,15
见龙亭小区南门,潘山市场,26路,1,15
潘山市场,丰泽实小潘山校区,26路,1,15
丰泽实小潘山校区,北清西路,26路,1,15
北清西路,北峰工业区,26路,1,15
北峰工业区,坑尾路口,26路,1,15
坑尾路口,西湖公园,26路,1,15
西湖公园,邮电公寓,26路,1,15
邮电公寓,建南花园,26路,1,15
建南花园,新华小区,26路,1,15
新华小区,西湖小区,26路,1,15
西湖小区,培元中学,26路,1,15
培元中学,开元寺西门,26路,1,15
开元寺西门,省五建,26路,1,15
省五建,新门菜市,26路,1,15
新门菜市,新门街头,26路,1,15
新门街头,府文庙,26路,1,15
府文庙,关帝庙,26路,1,15
关帝庙,棋盘园,26路,1,15
棋盘园,津坂路口,26路,1,15
津坂路口,水务集团,26路,1,15
水务集团,刺桐公园南门,26路,1,15
刺桐公园南门,祥远路南段,26路,1,15
祥远路南段,远太苑,26路,1,15
远太苑,祥园路北段,26路,1,15
祥园路北段,公交大厦,26路,1,15
