节点名称,区域属性,500M内是否有文保单位/古迹遗址/宗祠故地,线路,500M内文保单位/古迹遗址/宗祠故地的个数,,
刺桐南路中段,丰泽区,否,24路,0,,
客运中心站南门,丰泽区,否,24路,0,,
客运中心站,丰泽区,否,24路,0,,
,,,,,,
泉州江南老年颐乐园,鲤城区,是,25路,2,,
亭点街尾,鲤城区,是,25路,4,,
万祥汽车站,鲤城区,否,25路,0,,
乌石路口,鲤城区,否,25路,0,,
国防教育中心,鲤城区,是,25路,1,,
火炬工业区路口,鲤城区,否,25路,0,,
朵莲寺,鲤城区,是,25路,2,,
金山水闸,鲤城区,否,25路,0,,
新华南路,鲤城区,否,25路,0,,
金山北区,鲤城区,是,25路,1,,
新华桥,鲤城区,是,25路,3,,
芳草园,鲤城区,是,25路,2,,
新门菜市,鲤城区,是,25路,11,,
新门街头,鲤城区,是,25路,9,,
府文庙,鲤城区,是,25路,9,,
百源路,鲤城区,是,25路,8,,
承天寺,鲤城区,是,25路,14,,
泉州一院,鲤城区,是,25路,13,,
东门,丰泽区,是,25路,6,,
东湖影院,丰泽区,是,25路,4,,
侨乡体育馆,丰泽区,否,25路,0,,
圣墓,丰泽区,是,25路,2,,
坪山路口,丰泽区,是,25路,1,,
明日广场,丰泽区,否,25路,0,,
泉州盲聋哑学校,丰泽区,是,25路,2,,
华大街道办事处,丰泽区,是,25路,2,,
,,,,,,
见龙亭小区,丰泽区,否,26路,0,,
招联路口,丰泽区,否,26路,0,,
见龙亭小区南门,丰泽区,否,26路,0,,
潘山市场,丰泽区,是,26路,1,,
丰泽实小潘山校区,丰泽区,否,26路,0,,
北清西路,丰泽区,否,26路,0,,
北峰工业区,丰泽区,否,26路,0,,
坑尾路口,丰泽区,否,26路,0,,
西湖公园,丰泽区,否,26路,0,,
邮电公寓,丰泽区,否,26路,0,,
建南花园,丰泽区,否,26路,0,,
新华小区,丰泽区,否,26路,0,,
西湖小区,丰泽区,是,26路,3,,
培元中学,鲤城区,是,26路,13,,
开元寺西门,鲤城区,是,26路,13,,
省五建,鲤城区,是,26路,8,,
新门菜市,鲤城区,是,26路,11,,
新门街头,鲤城区,是,26路,9,,
府文庙,鲤城区,是,26路,9,,
关帝庙,鲤城区,是,26路,6,,
棋盘园,鲤城区,是,26路,4,,
津坂路口,丰泽区,否,26路,0,,
水务集团,丰泽区,否,26路,0,,
刺桐公园南门,丰泽区,否,26路,0,,
祥远路南段,丰泽区,否,26路,0,,
远太苑,丰泽区,否,26路,0,,
祥园路北段,丰泽区,否,26路,0,,
公交大厦,丰泽区,否,26路,0,,
坪山洞东侧,丰泽区,是,26路,2,,
山海路口,丰泽区,是,26路,2,,
东星,丰泽区,是,26路,2,,
埭头,丰泽区,否,26路,0,,
同兴街,丰泽区,否,26路,0,,
美仙路,丰泽区,否,26路,0,,
东辅路中段,丰泽区,否,26路,0,,
东辅路北段,丰泽区,否,26路,0,,
体育街西段,丰泽区,否,26路,0,,
世界城北门,丰泽区,否,26路,0,,
泉州一院城东分院,丰泽区,否,26路,0,,
金凤屿路口,丰泽区,否,26路,0,,
医高专,洛江区,否,26路,0,,
,,,,,,
西湖公园,丰泽区,否,27路,0,,
邮电公寓,丰泽区,否,27路,0,,
建南花园,丰泽区,否,27路,0,,
西湖街西段,丰泽区,是,27路,1,,
西湖街中段,丰泽区,否,27路,0,,
西湖街东段,丰泽区,是,27路,1,,
普明村,丰泽区,是,27路,3,,
大希夷,丰泽区,是,27路,3,,
刺桐新村路口,丰泽区,是,27路,3,,
泉州科技中学,鲤城区,是,27路,2,,
后茂路口,丰泽区,是,27路,2,,
圣福花苑,丰泽区,是,27路,2,,
柑舍头,丰泽区,是,27路,1,,
田安路北段,丰泽区,否,27路,0,,
闽侨站,丰泽区,否,27路,0,,
青少年宫,丰泽区,否,27路,0,,
丰泽小区,丰泽区,是,27路,2,,
后坂街口,丰泽区,否,27路,0,,
信和站,丰泽区,否,27路,0,,
泉秀街西段,丰泽区,否,27路,0,,
幸福街口,鲤城区,是,27路,7,,
鲤城公安分局,鲤城区,是,27路,10,,
大隘门,鲤城区,是,27路,13,,
土地后,鲤城区,是,27路,13,,
朵莲寺,鲤城区,是,27路,2,,
展览城,晋江市,否,27路,0,,
金浦供水公司,晋江市,否,27路,0,,
清濛,晋江市,否,27路,0,,
诺林商城,鲤城区,是,27路,2,,
清濛科技园,晋江市,否,27路,0,,
仙公山公园,晋江市,是,27路,1,,
御辇村,晋江市,否,27路,0,,
清濛唐厝村,晋江市,否,27路,0,,
,,,,,,
温陵路公交首末站,丰泽区,是,28路,6,,
海关大楼,丰泽区,是,28路,3,,
温陵路中段,鲤城区,是,28路,3,,
九一路口,鲤城区,是,28路,5,,
东湖公园,丰泽区,是,28路,6,,
东湖影院,丰泽区,是,28路,4,,
柑舍头,丰泽区,是,28路,1,,
圣福花苑,丰泽区,是,28路,2,,
靶场路口,丰泽区,否,28路,0,,
瑞像岩,丰泽区,是,28路,1,,
水流坑,丰泽区,否,28路,0,,
天湖路口,丰泽区,否,28路,0,,
微波站,丰泽区,否,28路,0,,
福鼎村口,丰泽区,否,28路,0,,
清源山柳洋村,丰泽区,否,28路,0,,
,,,,,,
曾林村,鲤城区,是,29路,1,,
大乡村,鲤城区,否,29路,0,,
坑头村,鲤城区,是,29路,1,,
赤土村,鲤城区,是,29路,1,,
元福路口,鲤城区,是,29路,1,,
赤土村口,鲤城区,否,29路,0,,
泉州经贸学院,鲤城区,否,29路,0,,
