前一节点,后一节点,线路名称,票价,区域属性,间距(km)
九都东路桂园路口,九都东路华林路口东,17路,1,瀍河回族区,
九都东路华林路口东,洛邑古城,17路,1,瀍河回族区,
洛邑古城,洛八办,17路,1,老城区,
洛八办,九都东路饮马街口西,17路,1,老城区,
九都东路饮马街口西,定鼎立交桥东,17路,1,老城区,
定鼎立交桥东,定鼎立交桥西,17路,1,老城区,
定鼎立交桥西,嘉豫门大街九都路口,17路,1,西工区,
嘉豫门大街九都路口,凯旋东路嘉豫门大街口,17路,1,西工区,
凯旋东路嘉豫门大街口,凯旋东路七一路口,17路,1,西工区,
凯旋东路七一路口,凯旋西路人民西路口,17路,1,西工区,
凯旋西路人民西路口,凯旋西路八一路口,17路,1,西工区,
凯旋西路八一路口,凯旋西路解放路口,17路,1,西工区,
凯旋西路解放路口,凯旋西路纱厂南路口,17路,1,西工区,
凯旋西路纱厂南路口,凯旋西路王城大道口,17路,1,西工区,
凯旋西路王城大道口,凯旋西路爱民街口,17路,1,西工区,
凯旋西路爱民街口,涧东路凯旋西路口,17路,1,西工区,
涧东路凯旋西路口,行署路临涧路口,17路,1,西工区,
行署路临涧路口,凯旋桥东,17路,1,西工区,
凯旋桥东,黄河路吉林路口,17路,1,西工区,
黄河路吉林路口,延安路珠江路口,17路,1,涧西区,
延安路珠江路口,景华路长春路口,17路,1,涧西区,
景华路长春路口,景华路太原路口,17路,1,涧西区,
景华路太原路口,景华路皖中路口,17路,1,涧西区,
景华路皖中路口,景华路湖南路口,17路,1,涧西区,
景华路湖南路口,景华路周山大道口,17路,1,涧西区,
景华路周山大道口,景华路陇北二路口,17路,1,涧西区,
景华路陇北二路口,长安路景华路口南,17路,1,涧西区,
长安路景华路口南,西苑路长安路口,17路,1,涧西区,
,,,,,
春都路东口,平等街玄武门大街口,18路内环,1,瀍河回族区,
平等街玄武门大街口,玄武门大街平等街口,18路内环,1,瀍河回族区,
玄武门大街平等街口,玄武门大街人民街口,18路内环,1,瀍河回族区,
玄武门大街人民街口,新街玄武门大街口,18路内环,1,瀍河回族区,
新街玄武门大街口,新街唐宫东路口,18路内环,1,瀍河回族区,
新街唐宫东路口,新街中州东路口北,18路内环,1,老城区,
新街中州东路口北,中州东路民主街口,18路内环,1,老城区,
中州东路民主街口,青年宫,18路内环,1,老城区,
青年宫,老集,18路内环,1,老城区,
老集,西关站,18路内环,1,老城区,
西关站,中州中路定鼎大道口,18路内环,1,老城区,
中州中路定鼎大道口,中州中路嘉豫门大街口,18路内环,1,老城区,
中州中路嘉豫门大街口,王城广场东,18路内环,1,西工区,
王城广场东,中州中路八一路口,18路内环,1,西工区,
中州中路八一路口,中州中路解放路口,18路内环,1,西工区,
中州中路解放路口,纱厂南路中州中路口,18路内环,1,西工区,
纱厂南路中州中路口,纱厂南路健康路口,18路内环,1,西工区,
纱厂南路健康路口,纱厂路口南,18路内环,1,西工区,
纱厂路口南,纱厂路口北,18路内环,1,西工区,
纱厂路口北,纱厂北路玄武门大街口,18路内环,1,西工区,
纱厂北路玄武门大街口,春都路国花路口,18路内环,1,西工区,
春都路国花路口,春都路英雄路口,18路内环,1,老城区,
春都路英雄路口,春都路道口巷口,18路内环,1,老城区,
春都路道口巷口,春都路苗南路口,18路内环,1,老城区,
春都路苗南路口,春都路嘉豫门大街口,18路内环,1,老城区,
春都路嘉豫门大街口,春都路定鼎大道口,18路内环,1,老城区,
春都路定鼎大道口,春都路烧沟西,18路内环,1,老城区,
春都路烧沟西,春都路烧沟村路口,18路内环,1,老城区,
春都路烧沟村路口,春都路龙光路口,18路内环,1,老城区,
春都路龙光路口,春都路含嘉仓街口,18路内环,1,老城区,
春都路含嘉仓街口,春都路陇海街口,18路内环,1,瀍河回族区,
春都路陇海街口,春都路东口,18路内环,1,瀍河回族区,
,,,,,
南苑路南昌路口,南苑小区,20路,1,涧西区,
南苑小区,乐山路南昌路口东,20路,1,涧西区,
乐山路南昌路口东,乐山路珠江路口西,20路,1,涧西区,
乐山路珠江路口西,珠江路乐山路口,20路,1,涧西区,
珠江路乐山路口,丽春东路珠江路口东,20路,1,涧西区,
丽春东路珠江路口东,丽春东路上阳路口东,20路,1,涧西区,
丽春东路上阳路口东,丽春东路涧东路口,20路,1,西工区,
丽春东路涧东路口,丽春东路王城大道口西,20路,1,西工区,
丽春东路王城大道口西,丽春东路王城大道口东,20路,1,西工区,
丽春东路王城大道口东,西下池,20路,1,西工区,
西下池,九都路解放路口西,20路,1,西工区,
九都路解放路口西,东下池,20路,1,西工区,
东下池,九都路体育场路口,20路,1,西工区,
九都路体育场路口,九都路嘉豫门大街口西,20路,1,西工区,
九都路嘉豫门大街口西,定鼎立交桥西,20路,1,西工区,
定鼎立交桥西,定鼎立交桥东,20路,1,西工区,
定鼎立交桥东,承福门盐店口街,20路,1,老城区,
承福门盐店口街,丽景门,20路,1,老城区,
