前一节点,后一节点,线路名称,票价,区域属性,间距(km)
北辰大道路口(穿金路),波罗村,91路,1,盘龙区,
波罗村,省精神病医院,91路,1,盘龙区,
省精神病医院,煤机新村,91路,1,盘龙区,
煤机新村,铂金大道,91路,1,盘龙区,
铂金大道,铂金大道中段,91路,1,盘龙区,
铂金大道中段,江东花城,91路,1,盘龙区,
江东花城,霖雨桥东,91路,1,盘龙区,
霖雨桥东,霖雨桥(霖雨路),91路,1,盘龙区,
霖雨桥(霖雨路),霖雨路,91路,1,盘龙区,
霖雨路,月牙塘小区,91路,1,五华区,
月牙塘小区,北市区车场,91路,1,五华区,
,,,,,
东寺街南口,市总工会,137路,1,西山区,
市总工会,书林街南口,137路,1,西山区,
书林街南口,西岳庙(海埂路),137路,1,西山区,
西岳庙(海埂路),豆腐营(海埂路),137路,1,西山区,
豆腐营(海埂路),海埂路口(前卫西路),137路,1,西山区,
海埂路口(前卫西路),春晓花园小区,137路,1,西山区,
春晓花园小区,官庄村(前卫西路),137路,1,西山区,
官庄村(前卫西路),二村(前卫西路),137路,1,西山区,
二村(前卫西路),前卫西路口(日新中路),137路,1,西山区,
前卫西路口(日新中路),前旺路口(前福路),137路,1,西山区,
前旺路口(前福路),前福路口(河宏路),137路,1,西山区,
前福路口(河宏路),前卫西路口(河宏路),137路,1,西山区,
前卫西路口(河宏路),世纪半岛小区(河宏路),137路,1,西山区,
世纪半岛小区(河宏路),陆家路口(河宏路),137路,1,西山区,
陆家路口(河宏路),广福路口(陆家路),137路,1,西山区,
广福路口(陆家路),湖畔之梦小区,137路,1,西山区,
,,,,,
市总工会,东寺街南口,152路,1,西山区,
东寺街南口,土桥,152路,1,西山区,
土桥,华昌路口(环城南路),152路,1,西山区,
华昌路口(环城南路),昆明冠生园(严家地),152路,1,西山区,
昆明冠生园(严家地),金牛小区,152路,1,西山区,
金牛小区,老年活动中心,152路,1,西山区,
老年活动中心,福海乡1,152路,1,西山区,
福海乡1,福海乡2,152路,1,西山区,
福海乡2,云检培训中心,152路,1,西山区,
云检培训中心,南苑,152路,1,西山区,
南苑,杨家地(日新中路),152路,1,西山区,
杨家地(日新中路),邬小村(日新中路),152路,1,西山区,
邬小村(日新中路),陈顾村,152路,1,西山区,
陈顾村,河宏路口(前卫西路),152路,1,西山区,
河宏路口(前卫西路),青青小镇(前卫西路),152路,1,西山区,
青青小镇(前卫西路),湖畔之梦小区,152路,1,西山区,
,,,,,
逸雅路口(华晨路),逸雅路口(金湖路),129路,2,西山区,
逸雅路口(金湖路),逸康路口(金湖路),129路,2,西山区,
逸康路口(金湖路),广福路口(前兴路),129路,2,西山区,
广福路口(前兴路),商汇路口(前兴路),129路,2,西山区,
商汇路口(前兴路),大庄村(前兴路),129路,2,西山区,
大庄村(前兴路),前旺路,129路,2,西山区,
前旺路,理想小镇小区(希望路),129路,2,西山区,
理想小镇小区(希望路),佳湖花园(日新东路),129路,2,西山区,
佳湖花园(日新东路),锦苑花园(日新东路),129路,2,西山区,
锦苑花园(日新东路),锦园花园(官南大道),129路,2,西山区,
锦园花园(官南大道),福达路口(官南大道),129路,2,西山区,
福达路口(官南大道),永平路口(南坝路),129路,2,西山区,
永平路口(南坝路),南坝路,129路,2,西山区,
南坝路,巡津街,129路,2,西山区,
巡津街,得胜桥(青年路),129路,2,五华区,
得胜桥(青年路),南太桥(青年路),129路,2,五华区,
南太桥(青年路),小花园(青年路),129路,2,五华区,
小花园(青年路),青年路1,129路,2,五华区,
青年路1,圆通山,129路,2,五华区,
圆通山,鼓楼路,129路,2,五华区,
鼓楼路,小菜园立交桥(龙泉路口),129路,2,五华区,
小菜园立交桥(龙泉路口),小菜园,129路,2,五华区,
小菜园,下马村,129路,2,五华区,
下马村,上马村,129路,2,五华区,
上马村,马村立交桥,129路,2,五华区,
马村立交桥,龙泉住宅区,129路,2,五华区,
龙泉住宅区,高教巷口(龙泉路)2,129路,2,五华区,
高教巷口(龙泉路)2,岗头村,129路,2,五华区,
岗头村,昆烟二部,129路,2,五华区,
昆烟二部,沙坝营(霖雨路),129路,2,五华区,
沙坝营(霖雨路),北市区车场,129路,2,五华区,
,,,,,
东寺街,西寺塔,K2路,2,西山区,
西寺塔,西岳庙(西昌路),K2路,2,西山区,
西岳庙(西昌路),弥勒寺(西昌路)1,K2路,2,西山区,
弥勒寺(西昌路)1,篆塘,K2路,2,五华区,
篆塘,潘家湾(西昌路),K2路,2,五华区,
潘家湾(西昌路),西站1,K2路,2,五华区,
西站1,虹山南路口(滇缅大道)1,K2路,2,五华区,
虹山南路口(滇缅大道)1,麻园(滇缅大道)1,K2路,2,五华区,
麻园(滇缅大道)1,黄土坡后街,K2路,2,五华区,
黄土坡后街,吉普路南口,K2路,2,五华区,
吉普路南口,交通学校,K2路,2,五华区,
交通学校,观音寺社区,K2路,2,五华区,
观音寺社区,王家桥(普吉路),K2路,2,五华区,
王家桥(普吉路),普吉路中段,K2路,2,五华区,
普吉路中段,小屯路口(陈家营路),K2路,2,五华区,
小屯路口(陈家营路),西北部公交枢纽站(小屯路),K2路,2,五华区,
西北部公交枢纽站(小屯路),普吉家园(小屯路),K2路,2,五华区,
普吉家园(小屯路),云南省阜外医院(沙河北路),K2路,2,五华区,
云南省阜外医院(沙河北路),白麓城(康明路),K2路,2,五华区,
白麓城(康明路),陈家营路口(玉峰路),K2路,2,五华区,
陈家营路口(玉峰路),大漾田公交首末站,K2路,2,五华区,
,,,,,
