节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
医院前街西口,鼓楼区,19路,0
五福路西口,鼓楼区,19路,0
五一路立交桥,鼓楼区,19路,0
五一路·华夏大道,鼓楼区,19路,0
南柴屯,鼓楼区,19路,1
外贸冷冻厂,鼓楼区,19路,0
芦花岗北,鼓楼区,19路,0
芦花岗,鼓楼区,19路,0
牛墩,禹王台区,19路,0
宏进批发市场,禹王台区,19路,0
芦花岗公交场站,禹王台区,19路,0
,,,
天波杨府,龙亭区,20路内环,6
体育场,龙亭区,20路内环,4
天伦苑,龙亭区,20路内环,0
铁塔公园,顺河回族区,20路内环,3
河大附中,顺河回族区,20路内环,4
仪表厂生活区,顺河回族区,20路内环,0
汴京公园,顺河回族区,20路内环,0
汴京桥,顺河回族区,20路内环,3
公交总公司,鼓楼区,20路内环,0
自由路·解放路,鼓楼区,20路内环,3
相国寺,鼓楼区,20路内环,6
行宫角,鼓楼区,20路内环,3
新街口,龙亭区,20路内环,2
河大一附院,龙亭区,20路内环,1
城隍庙后街,龙亭区,20路内环,5
天波杨府,龙亭区,20路内环,6
,,,
开封北站,龙亭区,21路,0
五大街·站前南路,龙亭区,21路,0
五大街职教路,龙亭区,21路,0
四大街职教路,龙亭区,21路,0
东京大道·三大街,龙亭区,21路,0
东京大道·二大街,龙亭区,21路,0
东京大道·一大街,龙亭区,21路,0
东京大桥,龙亭区,21路,0
天马广场,龙亭区,21路,0
河大新校区北门,龙亭区,21路,0
堌门村,龙亭区,21路,0
黄河水利职业技术学院,龙亭区,21路,0
龙翔香格里拉,龙亭区,21路,0
西环路·东京大道,龙亭区,21路,0
城市花园,龙亭区,21路,0
省一监,龙亭区,21路,0
小北岗生活区,龙亭区,21路,0
西环路育新街,龙亭区,21路,0
西环路·大梁路,龙亭区,21路,0
大梁门,龙亭区,21路,2
城隍庙后街,龙亭区,21路,5
西门大街·迎宾路,龙亭区,21路,3
新街口,龙亭区,21路,2
书店街北口,龙亭区,21路,6
东司门,龙亭区,21路,7
学院门,鼓楼区,21路,6
汴京桥,顺河回族区,21路,3
内环路,顺河回族区,21路,2
宋门里,顺河回族区,21路,0
宋门外,顺河回族区,21路,0
农机岗,顺河回族区,21路,0
滨河路·重工路,顺河回族区,21路,0
东货场,顺河回族区,21路,0
市政机械厂,顺河回族区,21路,0
羊尾铺,顺河回族区,21路,1
汽车配件公司,顺河回族区,21路,1
,,,
大王屯东街南口,鼓楼区,22路,0
71320部队,鼓楼区,22路,0
佳境天城,鼓楼区,22路,0
魏都路·五一路,禹王台区,22路,0
魏都路·中山路,禹王台区,22路,0
二十七中,禹王台区,22路,0
中国银行,禹王台区,22路,2
泰山庙,鼓楼区,22路,5
小纸坊街口,鼓楼区,22路,6
行宫角,鼓楼区,22路,5
鼓楼广场,鼓楼区,22路,6
学院门,鼓楼区,22路,6
汴京桥,鼓楼区,22路,3
内环路·公交五公司,鼓楼区,22路,0
,,,
市民广场公交站,龙亭区,23路,0
中意湖健康主题公园,龙亭区,23路,0
八大街·安康路,龙亭区,23路,0
郑开大道·九大街,龙亭区,23路,0
郑开大道·十大街,龙亭区,23路,0
郑开大道·十一大街,龙亭区,23路,0
自由贸易区,龙亭区,23路,0
晋安路·十四大街,龙亭区,23路,0
