前一节点,后一节点,线路名称,票价,区域属性,间距(km)
虞山桥,桂林医学院(分部),30路,2,七星区,
桂林医学院(分部),花鸟市场,30路,2,七星区,
花鸟市场,彭家岭,30路,2,七星区,
彭家岭,公交东环车场,30路,2,七星区,
,,,,,
十字街(解放西路),艺术馆,301路,2,秀峰区,
艺术馆,翊武路,301路,2,秀峰区,
翊武路,凤北路口,301路,2,秀峰区,
凤北路口,观音阁,301路,2,叠彩区,
观音阁,北极广场,301路,2,叠彩区,
北极广场,清风路,301路,2,叠彩区,
清风路,虞山桥,301路,2,叠彩区,
虞山桥,春江道,301路,2,叠彩区,
春江道,永彩路(临时站),301路,2,叠彩区,
永彩路(临时站),芳华路,301路,2,叠彩区,
芳华路,南洲大桥南,301路,2,叠彩区,
南洲大桥南,站前路东,301路,2,叠彩区,
站前路东,春江路,301路,2,叠彩区,
春江路,中山中学,301路,2,叠彩区,
中山中学,八里一路东,301路,2,叠彩区,
八里一路东,川东二路中,301路,2,灵川县,
川东二路中,川东二路,301路,2,灵川县,
川东二路,八里六路,301路,2,灵川县,
八里六路,大面路口,301路,2,灵川县,
大面路口,粑粑厂,301路,2,灵川县,
粑粑厂,灵川大道,301路,2,灵川县,
灵川大道,东家厂,301路,2,灵川县,
东家厂,高速路口,301路,2,灵川县,
高速路口,水泥厂路口,301路,2,灵川县,
水泥厂路口,社田江,301路,2,灵川县,
社田江,禾家铺,301路,2,灵川县,
禾家铺,百花路口,301路,2,灵川县,
百花路口,县质监局,301路,2,灵川县,
县质监局,县交警大队,301路,2,灵川县,
县交警大队,二小路口,301路,2,灵川县,
二小路口,潭下路口,301路,2,灵川县,
潭下路口,钢厂路口,301路,2,灵川县,
钢厂路口,县公路局,301路,2,灵川县,
县公路局,一小路口,301路,2,灵川县,
一小路口,县检查院,301路,2,灵川县,
县检查院,城湘路口,301路,2,灵川县,
城湘路口,公交灵川临时车场,301路,2,灵川县,
,,,,,
琴潭汽车客运站,红岭路南口,23路,2,秀峰区,
红岭路南口,红岭路北口,23路,2,秀峰区,
红岭路北口,东安红岭路口,23路,2,秀峰区,
东安红岭路口,东安路中,23路,2,秀峰区,
东安路中,西门菜市,23路,2,秀峰区,
西门菜市,西门桥,23路,2,象山区,
西门桥,西城路口,23路,2,象山区,
西城路口,文明路,23路,2,象山区,
文明路,象山公园,23路,2,象山区,
象山公园,民主路,23路,2,象山区,
民主路,安新小区北口,23路,2,象山区,
安新小区北口,安新小区,23路,2,象山区,
安新小区,穿山桥,23路,2,象山区,
穿山桥,辅星路口,23路,2,七星区,
辅星路口,毅峰路口,23路,2,七星区,
毅峰路口,体育中心,23路,2,七星区,
体育中心,碧水康城(临时站),23路,2,七星区,
碧水康城(临时站),穿山东路中,23路,2,七星区,
穿山东路中,穿山东路尾,23路,2,七星区,
穿山东路尾,和平村,23路,2,七星区,
和平村,五里店路,23路,2,七星区,
五里店路,青岭路,23路,2,七星区,
青岭路,鸾东小区,23路,2,七星区,
鸾东小区,石油六公司,23路,2,七星区,
石油六公司,五里店,23路,2,七星区,
,,,,,
篦子园,篦子园菜市,209路,1,秀峰区,
篦子园菜市,篦子园口,209路,1,秀峰区,
篦子园口,秀峰交警,209路,1,秀峰区,
秀峰交警,西山公园,209路,1,秀峰区,
西山公园,西湖苑,209路,1,秀峰区,
西湖苑,信义路口,209路,1,秀峰区,
信义路口,观漪桥,209路,1,秀峰区,
观漪桥,艺术馆,209路,1,秀峰区,
艺术馆,十字街(解放西路),209路,1,秀峰区,
十字街(解放西路),十字街(解放东路),209路,1,秀峰区,
十字街(解放东路),解放桥,209路,1,秀峰区,
解放桥,五通社区,209路,1,秀峰区,
五通社区,临江路,209路,1,七星区,
临江路,上关路,209路,1,七星区,
,,,,,
十字街(解放东路),乐群路口,203路,1,秀峰区,
乐群路口,凤北路口,203路,1,秀峰区,
凤北路口,叠彩山,203路,1,秀峰区,
叠彩山,东镇路,203路,1,秀峰区,
东镇路,观音阁,203路,1,秀峰区,
观音阁,芦笛路,203路,1,秀峰区,
芦笛路,芦笛菜市,203路,1,秀峰区,
芦笛菜市,冶金机械厂,203路,1,秀峰区,
冶金机械厂,九华山,203路,1,秀峰区,
九华山,机床公司,203路,1,秀峰区,
机床公司,九华路,203路,1,秀峰区,
九华路,北冲,203路,1,秀峰区,
北冲,商业高级技校,203路,1,秀峰区,
,,,,,
南洲大桥,虞山桥,漓江,1,叠彩区,
虞山桥,叠彩山,漓江,1,叠彩区,
叠彩山,伏龙州公园,漓江,1,叠彩区,
伏龙州公园,伏波山公园,漓江,1,叠彩区,
伏波山公园,解放桥,漓江,1,叠彩区,
解放桥,訾洲,漓江,1,秀峰区,
訾洲,漓江桥,漓江,1,秀峰区,
漓江桥,九娘庙,漓江,1,七星区,
九娘庙,净瓶山,漓江,1,七星区,
净瓶山,净瓶山大桥,漓江,1,七星区,
净瓶山大桥,白鹭滩,漓江,1,七星区,
白鹭滩,龙门大桥,漓江,1,雁山区,
龙门大桥,港建大桥,漓江,1,雁山区,
,,,,,
叠彩山,木龙湖,漓江,1,叠彩区,
木龙湖,木龙桥,漓江,1,叠彩区,
木龙桥,宝积桥,漓江,1,叠彩区,
宝积桥,四会路桥,漓江,1,叠彩区,
四会路桥,观漪桥,漓江,1,叠彩区,
观漪桥,丽泽桥,漓江,1,叠彩区,
丽泽桥,榕湖,漓江,1,叠彩区,
榕湖,日月双塔,漓江,1,象山区,
日月双塔,訾洲,漓江,1,象山区,
,,,,,
榕湖,信义桥,漓江,1,象山区,
信义桥,榕湖双船闸,漓江,1,象山区,
榕湖双船闸,西门桥,漓江,1,象山区,
西门桥,中山南路(桥),漓江,1,象山区,
中山南路(桥),文昌桥,漓江,1,象山区,
文昌桥,象鼻山,漓江,1,象山区,
象鼻山,訾洲,漓江,1,七星区,
,,,,,
中山南路(桥),雉山桥,漓江,1,象山区,
雉山桥,九娘庙,漓江,1,七星区,
,,,,,
观音阁,驿前直里,驿前步行街,0,叠彩区,
驿前直里,木龙湖·东镇门,木龙湖,0,叠彩区,
木龙湖·东镇门,叠彩山,木龙湖,0,叠彩区,
