节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数
叠彩山,秀峰区,203路,8,3
东镇路,秀峰区,203路,6,3
观音阁,秀峰区,203路,5,1
芦笛路,秀峰区,203路,0,0
芦笛菜市,秀峰区,203路,0,0
冶金机械厂,秀峰区,203路,0,0
九华山,秀峰区,203路,0,0
机床公司,秀峰区,203路,0,0
九华路,秀峰区,203路,0,0
北冲,秀峰区,203路,0,0
商业高级技校,秀峰区,203路,0,0
,,,,
南洲大桥,叠彩区,漓江,0,0
虞山桥,叠彩区,漓江,1,1
叠彩山,叠彩区,漓江,11,5
伏龙州公园,叠彩区,漓江,6,3
伏波山公园,叠彩区,漓江,3,1
解放桥,秀峰区,漓江,5,2
訾洲,秀峰区,漓江,5,3
漓江桥,七星区,漓江,1,1
九娘庙,七星区,漓江,1,1
净瓶山,七星区,漓江,2,2
净瓶山大桥,七星区,漓江,0,0
白鹭滩,雁山区,漓江,0,0
龙门大桥,雁山区,漓江,0,0
港建大桥,雁山区,漓江,0,0
,,,,
叠彩山,叠彩区,漓江,11,5
木龙湖,叠彩区,漓江,10,8
木龙桥,叠彩区,漓江,10,8
宝积桥,叠彩区,漓江,4,1
四会路桥,叠彩区,漓江,5,1
观漪桥,叠彩区,漓江,6,4
丽泽桥,叠彩区,漓江,8,3
榕湖,象山区,漓江,6,5
日月双塔,象山区,漓江,5,3
訾洲,象山区,漓江,5,3
,,,,
榕湖,象山区,漓江,6,5
信义桥,象山区,漓江,5,2
榕湖双船闸,象山区,漓江,3,2
西门桥,象山区,漓江,3,0
中山南路(桥),象山区,漓江,3,0
文昌桥,象山区,漓江,7,5
象鼻山,七星区,漓江,8,5
訾洲,七星区,漓江,5,3
,,,,
中山南路(桥),象山区,漓江,3,0
雉山桥,七星区,漓江,0,0
九娘庙,七星区,漓江,1,1
,,,,
观音阁,叠彩区,驿前步行街,5,1
驿前直里,叠彩区,木龙湖,5,3
木龙湖·东镇门,叠彩区,木龙湖,8,4
叠彩山,叠彩区,漓江,11,5
