节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
霖雨桥东,盘龙区,91路,0,0
霖雨桥(霖雨路),盘龙区,91路,0,0
霖雨路,五华区,91路,0,0
月牙塘小区,五华区,91路,0,0
北市区车场,五华区,91路,0,0
,,,,
东寺街南口,西山区,137路,3,6
市总工会,西山区,137路,4,7
书林街南口,西山区,137路,1,4
西岳庙(海埂路),西山区,137路,0,0
豆腐营(海埂路),西山区,137路,0,0
海埂路口(前卫西路),西山区,137路,0,0
春晓花园小区,西山区,137路,0,0
官庄村(前卫西路),西山区,137路,0,0
二村(前卫西路),西山区,137路,0,0
前卫西路口(日新中路),西山区,137路,0,0
前旺路口(前福路),西山区,137路,0,0
前福路口(河宏路),西山区,137路,0,0
前卫西路口(河宏路),西山区,137路,0,0
世纪半岛小区(河宏路),西山区,137路,0,0
陆家路口(河宏路),西山区,137路,0,0
广福路口(陆家路),西山区,137路,0,0
湖畔之梦小区,西山区,137路,0,0
,,,,
市总工会,西山区,152路,4,7
东寺街南口,西山区,152路,3,6
土桥,西山区,152路,2,6
华昌路口(环城南路),西山区,152路,0,1
昆明冠生园(严家地),西山区,152路,0,0
金牛小区,西山区,152路,0,0
老年活动中心,西山区,152路,0,0
福海乡1,西山区,152路,0,0
福海乡2,西山区,152路,0,0
云检培训中心,西山区,152路,0,0
南苑,西山区,152路,0,0
杨家地(日新中路),西山区,152路,0,0
邬小村(日新中路),西山区,152路,0,0
陈顾村,西山区,152路,0,0
河宏路口(前卫西路),西山区,152路,0,0
青青小镇(前卫西路),西山区,152路,0,0
湖畔之梦小区,西山区,152路,0,0
,,,,
逸雅路口(华晨路),西山区,129路,1,1
逸雅路口(金湖路),西山区,129路,0,0
逸康路口(金湖路),西山区,129路,0,0
广福路口(前兴路),西山区,129路,0,0
商汇路口(前兴路),西山区,129路,0,0
大庄村(前兴路),西山区,129路,0,0
前旺路,西山区,129路,0,0
理想小镇小区(希望路),西山区,129路,0,0
佳湖花园(日新东路),西山区,129路,0,0
锦苑花园(日新东路),西山区,129路,0,0
锦园花园(官南大道),西山区,129路,0,0
福达路口(官南大道),西山区,129路,0,0
永平路口(南坝路),西山区,129路,0,0
南坝路,西山区,129路,0,0
巡津街,五华区,129路,2,9
得胜桥(青年路),五华区,129路,4,10
南太桥(青年路),五华区,129路,6,10
小花园(青年路),五华区,129路,3,12
青年路1,五华区,129路,4,12
圆通山,五华区,129路,7,11
鼓楼路,五华区,129路,6,10
小菜园立交桥(龙泉路口),五华区,129路,0,0
小菜园,五华区,129路,0,0
下马村,五华区,129路,0,0
上马村,五华区,129路,0,0
马村立交桥,五华区,129路,0,0
龙泉住宅区,五华区,129路,0,0
高教巷口(龙泉路)2,五华区,129路,0,0
岗头村,五华区,129路,0,1
昆烟二部,五华区,129路,0,2
沙坝营(霖雨路),五华区,129路,0,0
北市区车场,五华区,129路,0,0
,,,,
东寺街,西山区,K2路,7,10
西寺塔,西山区,K2路,4,8
西岳庙(西昌路),西山区,K2路,1,3
弥勒寺(西昌路)1,五华区,K2路,0,2
篆塘,五华区,K2路,0,0
潘家湾(西昌路),五华区,K2路,0,3
西站1,五华区,K2路,0,0
虹山南路口(滇缅大道)1,五华区,K2路,0,0
麻园(滇缅大道)1,五华区,K2路,1,1
黄土坡后街,五华区,K2路,1,1
吉普路南口,五华区,K2路,1,1
交通学校,五华区,K2路,0,0
观音寺社区,五华区,K2路,0,0
王家桥(普吉路),五华区,K2路,0,0
普吉路中段,五华区,K2路,0,0
小屯路口(陈家营路),五华区,K2路,0,0
西北部公交枢纽站(小屯路),五华区,K2路,0,0
普吉家园(小屯路),五华区,K2路,0,0
云南省阜外医院(沙河北路),五华区,K2路,0,1
白麓城(康明路),五华区,K2路,1,1
陈家营路口(玉峰路),五华区,K2路,0,1
大漾田公交首末站,五华区,K2路,0,0
,,,,
