前一节点,后一节点,线路名称,票价,区域属性
包公祠,西司桥,16路,1,鼓楼区
西司桥,开封市眼病医院,16路,1,鼓楼区
开封市眼病医院,延庆观,16路,1,鼓楼区
延庆观,大纸坊街口,16路,1,鼓楼区
大纸坊街口,相国寺,16路,1,鼓楼区
相国寺,自由路·解放路口,16路,1,鼓楼区
自由路·解放路口,内环路·公交五公司,16路,1,鼓楼区
,,,,
市人大·市检查院,金明广场·中原银行开封分行,17路,1,龙亭区
金明广场·中原银行开封分行,市发改委,17路,1,龙亭区
市发改委,金明东街·晋安路,17路,1,龙亭区
金明东街·晋安路,金明小学,17路,1,龙亭区
金明小学,金明中学,17路,1,龙亭区
金明中学,康乐西口,17路,1,龙亭区
康乐西口,广电中心,17路,1,龙亭区
广电中心,预备役师原址,17路,1,龙亭区
预备役师原址,康太家园,17路,1,龙亭区
康太家园,凤凰城,17路,1,龙亭区
凤凰城,西郊商场,17路,1,龙亭区
西郊商场,客运西站,17路,1,鼓楼区
客运西站,大南门外,17路,1,禹王台区
大南门外,滨河路二十七中新校,17路,1,禹王台区
滨河路二十七中新校,羊市桥,17路,1,禹王台区
羊市桥,市卫校,17路,1,禹王台区
市卫校,农机岗,17路,1,顺河回族区
农机岗,滨河路·重工路,17路,1,顺河回族区
滨河路·重工路,东货场,17路,1,顺河回族区
东货场,市政机械厂,17路,1,顺河回族区
市政机械厂,工农路,17路,1,顺河回族区
工农路,公交四公司,17路,1,顺河回族区
公交四公司,客运东站,17路,1,顺河回族区
,,,,
小李庄公交场站,御景湾,18路,1,龙亭区
御景湾,临时站,18路,1,龙亭区
临时站,劳动路·苹果园中路,18路,1,龙亭区
劳动路·苹果园中路,苹果园中路劳动路,18路,1,龙亭区
苹果园中路劳动路,苹果园小学,18路,1,龙亭区
苹果园小学,苹果园,18路,1,龙亭区
苹果园,三教堂街·体育公园,18路,1,龙亭区
三教堂街·体育公园,曹门,18路,1,龙亭区
曹门,石桥口,18路,1,龙亭区
石桥口,白衣阁,18路,1,龙亭区
白衣阁,东司门,18路,1,龙亭区
东司门,书店街北口,18路,1,龙亭区
书店街北口,新街口,18路,1,龙亭区
新街口,西门大街·迎宾路,18路,1,龙亭区
西门大街·迎宾路,城隍庙后街,18路,1,龙亭区
城隍庙后街,大梁门,18路,1,龙亭区
大梁门,马市街,18路,1,龙亭区
马市街,大梁路·黄河大街,18路,1,龙亭区
大梁路·黄河大街,二十五中,18路,1,龙亭区
二十五中,康乐东口,18路,1,龙亭区
康乐东口,宋城路黄河大街,18路,1,龙亭区
宋城路黄河大街,凤凰城,18路,1,龙亭区
凤凰城,西郊商场,18路,1,龙亭区
西郊商场,长风花园,18路,1,鼓楼区
长风花园,大王屯东街南口,18路,1,鼓楼区
大王屯东街南口,71320部队,18路,1,鼓楼区
71320部队,佳境天城,18路,1,鼓楼区
佳境天城,五福路西口,18路,1,鼓楼区
五福路西口,五福路柯家楼,18路,1,鼓楼区
五福路柯家楼,三里堡,18路,1,禹王台区
三里堡,火车站,18路,1,禹王台区
,,,,
内环路·公交五公司,自由路·解放路,19路,1,鼓楼区
自由路·解放路,相国寺,19路,1,鼓楼区
相国寺,大纸坊街,19路,1,鼓楼区
大纸坊街,延庆观,19路,1,鼓楼区
延庆观,客运西站,19路,1,鼓楼区
客运西站,一木,19路,1,鼓楼区
一木,医院前街西口,19路,1,鼓楼区
医院前街西口,五福路西口,19路,1,鼓楼区
五福路西口,五一路立交桥,19路,1,鼓楼区
五一路立交桥,五一路·华夏大道,19路,1,鼓楼区
五一路·华夏大道,南柴屯,19路,1,鼓楼区
南柴屯,外贸冷冻厂,19路,1,鼓楼区
外贸冷冻厂,芦花岗北,19路,1,鼓楼区
芦花岗北,芦花岗,19路,1,鼓楼区
芦花岗,牛墩,19路,1,鼓楼区
牛墩,宏进批发市场,19路,1,禹王台区
宏进批发市场,芦花岗公交场站,19路,1,禹王台区
,,,,
天波杨府,体育场,20路内环,1,龙亭区
体育场,天伦苑,20路内环,1,龙亭区
天伦苑,铁塔公园,20路内环,1,龙亭区
铁塔公园,河大附中,20路内环,1,顺河回族区
河大附中,仪表厂生活区,20路内环,1,顺河回族区
仪表厂生活区,汴京公园,20路内环,1,顺河回族区
汴京公园,汴京桥,20路内环,1,顺河回族区
汴京桥,公交总公司,20路内环,1,顺河回族区
公交总公司,自由路·解放路,20路内环,1,鼓楼区
自由路·解放路,相国寺,20路内环,1,鼓楼区
相国寺,行宫角,20路内环,1,鼓楼区
行宫角,新街口,20路内环,1,鼓楼区
新街口,河大一附院,20路内环,1,龙亭区
河大一附院,城隍庙后街,20路内环,1,龙亭区
城隍庙后街,天波杨府,20路内环,1,龙亭区
,,,,
开封北站,五大街·站前南路,21路,1,龙亭区
五大街·站前南路,五大街职教路,21路,1,龙亭区
五大街职教路,四大街职教路,21路,1,龙亭区
四大街职教路,东京大道·三大街,21路,1,龙亭区
东京大道·三大街,东京大道·二大街,21路,1,龙亭区
东京大道·二大街,东京大道·一大街,21路,1,龙亭区
东京大道·一大街,东京大桥,21路,1,龙亭区
东京大桥,天马广场,21路,1,龙亭区
天马广场,河大新校区北门,21路,1,龙亭区
河大新校区北门,堌门村,21路,1,龙亭区
堌门村,黄河水利职业技术学院,21路,1,龙亭区
黄河水利职业技术学院,龙翔香格里拉,21路,1,龙亭区
龙翔香格里拉,西环路·东京大道,21路,1,龙亭区
西环路·东京大道,城市花园,21路,1,龙亭区
城市花园,省一监,21路,1,龙亭区
省一监,小北岗生活区,21路,1,龙亭区
小北岗生活区,西环路育新街,21路,1,龙亭区
西环路育新街,西环路·大梁路,21路,1,龙亭区
西环路·大梁路,大梁门,21路,1,龙亭区
大梁门,城隍庙后街,21路,1,龙亭区
城隍庙后街,西门大街·迎宾路,21路,1,龙亭区
西门大街·迎宾路,新街口,21路,1,龙亭区
新街口,书店街北口,21路,1,龙亭区
书店街北口,东司门,21路,1,龙亭区
东司门,学院门,21路,1,龙亭区
学院门,汴京桥,21路,1,鼓楼区
汴京桥,内环路,21路,1,顺河回族区
内环路,宋门里,21路,1,顺河回族区
宋门里,宋门外,21路,1,顺河回族区
宋门外,农机岗,21路,1,顺河回族区
农机岗,滨河路·重工路,21路,1,顺河回族区
滨河路·重工路,东货场,21路,1,顺河回族区
东货场,市政机械厂,21路,1,顺河回族区
市政机械厂,羊尾铺,21路,1,顺河回族区
羊尾铺,汽车配件公司,21路,1,顺河回族区
,,,,
大王屯东街南口,71320部队,22路,1,鼓楼区
71320部队,佳境天城,22路,1,鼓楼区
佳境天城,魏都路·五一路,22路,1,鼓楼区
魏都路·五一路,魏都路·中山路,22路,1,禹王台区
魏都路·中山路,二十七中,22路,1,禹王台区
二十七中,中国银行,22路,1,禹王台区
中国银行,泰山庙,22路,1,禹王台区
泰山庙,小纸坊街口,22路,1,鼓楼区
小纸坊街口,行宫角,22路,1,鼓楼区
行宫角,鼓楼广场,22路,1,鼓楼区
鼓楼广场,学院门,22路,1,鼓楼区
学院门,汴京桥,22路,1,鼓楼区
汴京桥,内环路·公交五公司,22路,1,鼓楼区
,,,,
市民广场公交站,中意湖健康主题公园,23路,1,龙亭区
中意湖健康主题公园,八大街·安康路,23路,1,龙亭区
八大街·安康路,郑开大道·九大街,23路,1,龙亭区
郑开大道·九大街,郑开大道·十大街,23路,1,龙亭区
郑开大道·十大街,郑开大道·十一大街,23路,1,龙亭区
郑开大道·十一大街,自由贸易区,23路,1,龙亭区
自由贸易区,晋安路·十四大街,23路,1,龙亭区
晋安路·十四大街,十六大街郑开大道,23路,1,龙亭区
十六大街郑开大道,郑开大道·十八大街,23路,1,龙亭区
郑开大道·十八大街,二十二大街北段,23路,1,龙亭区
,,,,
刘寺转盘,龙城御园,24路,1,鼓楼区
龙城御园,金明大道·立交桥南站,24路,1,鼓楼区
金明大道·立交桥南站,金明大道·立交桥北站,24路,1,鼓楼区
金明大道·立交桥北站,金明大道·北宋官瓷艺术博物馆,24路,1,龙亭区
金明大道·北宋官瓷艺术博物馆,豪德贸易广场,24路,1,龙亭区
豪德贸易广场,金明东街·宋城路,24路,1,龙亭区
金明东街·宋城路,金明中学,24路,1,龙亭区
金明中学,南正面,24路,1,龙亭区
南正面,三毛未来购物广场,24路,1,龙亭区
三毛未来购物广场,城西办事处,24路,1,龙亭区
城西办事处,汉兴路东口,24路,1,龙亭区
汉兴路东口,西环路·向阳路,24路,1,龙亭区
西环路·向阳路,包公祠,24路,1,龙亭区
包公祠,西司桥,24路,1,鼓楼区
西司桥,开封市眼病医院,24路,1,鼓楼区
开封市眼病医院,行宫角,24路,1,鼓楼区
行宫角,鼓楼广场,24路,1,鼓楼区
鼓楼广场,学院门,24路,1,鼓楼区
学院门,汴京桥,24路,1,鼓楼区
汴京桥,内环路·公交五公司,24路,1,顺河回族区
,,,,
开封北站,三大街·职教路,38路,1,龙亭区
三大街·职教路,职教路·二大街,38路,1,龙亭区
职教路·二大街,职教路·一大街,38路,1,龙亭区
职教路·一大街,集英街·东京大道,38路,1,龙亭区
集英街·东京大道,香堤湾,38路,1,龙亭区
香堤湾,金耀路·金明西街,38路,1,龙亭区
金耀路·金明西街,金耀路·金明大道,38路,1,龙亭区
金耀路·金明大道,省税校,38路,1,龙亭区
省税校,万胜路·康平路,38路,1,龙亭区
万胜路·康平路,万胜路·夷山大街,38路,1,龙亭区
万胜路·夷山大街,万胜路武夷路,38路,1,龙亭区
万胜路武夷路,大梁路·黄河大街,38路,1,龙亭区
大梁路·黄河大街,马市街,38路,1,龙亭区
马市街,大梁门,38路,1,龙亭区
大梁门,城隍庙后街,38路,1,龙亭区
